@relation SEA-Abrupt13123-391-525-353

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 {0,1}

@data
0.585563,1.248276,3.546727,0
4.760674,1.945496,0.595562,0
5.426573,5.963484,9.192814,1
8.927908,4.947427,6.919928,1
1.9239,7.808291,8.824305,1
7.524072,8.512892,3.06562,1
5.08821,5.212386,1.681939,1
8.672635,3.042525,5.437186,1
2.580894,0.441408,7.441796,0
9.001716,7.703768,2.945126,1
1.620748,9.976704,1.419273,1
0.48485,9.748618,6.287926,1
5.546955,8.884067,8.607803,1
1.062616,6.206278,7.092433,0
6.599615,8.774372,0.438536,0
4.280705,8.398038,8.129879,1
1.801402,8.145673,4.651519,1
4.724528,2.171033,7.460637,0
3.77111,4.369829,5.321406,0
9.876943,3.353021,1.538803,1
6.123433,1.189224,9.994092,0
3.885971,2.214945,5.968878,0
4.467957,7.32191,3.815956,1
0.241731,2.894601,3.877995,0
1.789412,9.321553,4.365217,1
2.83912,0.649498,8.941105,0
4.887001,1.825299,5.8357,0
3.322642,9.094283,6.813058,1
4.990306,7.703348,9.709671,1
0.626849,4.500737,6.056014,0
3.140964,4.380598,8.254038,0
9.184396,3.978535,5.172532,1
5.604471,2.075758,3.814769,0
7.902634,9.258805,2.623731,0
2.391745,1.353832,8.400377,0
4.056171,6.640399,7.224931,1
1.677911,3.215487,9.2242,0
3.401296,9.436063,8.170318,1
0.058446,1.549097,8.458718,0
2.656348,4.862831,0.46073,0
8.704239,5.360942,7.546037,1
6.064755,8.150642,6.7849,1
6.441423,1.204947,4.48252,0
1.580664,4.291899,3.113175,0
7.078448,5.62237,3.70419,1
9.686362,5.551119,0.279062,1
5.882712,2.93107,1.707482,0
0.624762,4.95147,1.559693,0
4.686545,0.702337,5.897472,0
1.312242,9.259089,1.826495,0
5.327834,1.257967,3.386634,0
6.698419,6.806523,7.142997,1
3.850128,2.681413,0.586992,1
5.593092,0.609647,0.128024,0
8.468509,2.836597,2.553605,1
6.664089,5.641279,7.531766,1
1.546143,0.16359,5.030537,0
5.17435,5.356707,3.236272,1
9.126938,2.587494,2.844537,1
5.549433,2.144145,5.28391,0
1.713402,1.466882,9.569402,0
3.224521,6.078472,5.518315,1
2.113515,1.027877,5.793362,0
0.630192,2.723869,7.78204,0
2.169692,7.59522,0.945637,1
2.409973,1.440292,8.348011,0
1.715029,6.235129,3.146034,0
3.082396,3.054268,5.791396,0
0.737062,9.732935,3.49838,1
5.900394,5.725167,6.449285,1
6.868884,2.450373,9.539103,1
8.405381,0.611908,8.335634,0
6.314514,9.668708,2.112126,1
7.044128,1.2882,6.149916,0
5.294841,6.451805,9.924855,1
6.051259,3.343853,0.093909,1
5.83443,8.219558,7.386786,1
3.485657,3.602232,0.341714,0
1.05254,0.87706,4.888271,0
7.385665,8.384015,9.146986,1
5.086503,4.937744,0.079343,1
3.104802,9.134026,0.471458,0
3.870471,0.626395,9.317301,0
5.642326,3.361457,8.447653,1
4.173909,9.985496,5.422711,1
1.856433,8.826361,3.651525,1
8.050377,7.422243,0.51029,1
3.27304,6.87262,9.289237,1
2.434458,5.343753,5.671985,0
1.070698,1.78285,1.792899,0
5.403732,2.474778,6.901258,0
2.824298,0.444688,5.497396,0
2.054992,4.101787,7.543445,0
7.700465,5.310916,8.357167,1
3.917964,9.747682,5.718452,1
1.040768,5.263938,9.420738,0
6.262229,9.59342,4.650804,1
3.880637,8.561688,8.380474,1
6.281317,3.591399,4.080312,1
8.215168,3.84199,3.742054,1
4.834271,9.193636,2.931014,1
6.704751,2.01612,9.228123,0
5.014136,7.40307,5.40393,1
1.659871,7.778095,0.658983,1
2.570608,7.709692,2.666433,1
5.042896,8.224408,6.143735,1
3.397146,7.839421,1.108337,1
2.865237,2.922301,8.954331,0
1.457781,2.849852,0.767776,0
6.728566,0.342411,4.870998,0
1.8059,0.224927,5.539809,0
1.695233,3.794444,0.44932,0
9.190765,3.603694,0.044817,1
4.778804,9.231221,1.605606,1
2.071469,2.633651,7.205397,0
8.629614,0.267512,8.299761,0
2.644059,1.104944,0.232282,0
9.782871,2.303764,4.47867,1
0.3063,8.229469,1.939542,0
4.595326,8.854843,1.081819,0
4.839901,6.500023,2.621724,1
9.236254,3.56744,8.789316,1
8.918069,6.890103,4.275748,1
0.904481,8.619359,1.406723,0
3.933961,2.232577,7.158801,0
7.740377,6.083665,6.561036,0
1.982488,3.835375,5.834755,0
3.706015,2.437792,9.160228,0
2.20678,4.620035,6.465201,0
3.096466,1.475569,8.141834,0
5.091113,4.586708,9.776602,1
5.046041,1.779737,2.63202,0
2.59125,7.042291,5.663697,1
2.442918,8.757319,7.377957,1
1.663649,9.011183,7.344977,1
0.900492,0.543608,7.860596,1
5.002587,1.284935,2.779865,0
6.235843,9.408395,1.988287,1
1.729636,4.606256,5.298479,0
4.067337,7.257569,0.960905,1
6.648615,5.694455,1.753704,1
5.218724,0.107649,6.357786,0
9.583115,9.544019,2.767905,1
9.171097,7.325929,8.087057,1
5.410065,1.987728,1.914914,0
6.010599,3.888723,6.061497,1
9.129396,8.508238,3.534772,1
4.093635,5.411258,7.250841,1
3.808025,1.399123,3.689955,0
7.658345,5.02227,6.644249,1
7.528128,4.503557,8.310529,1
5.464822,2.474054,9.753674,0
1.361063,2.223313,4.801477,0
4.480363,0.663758,0.41991,0
8.541478,4.287584,9.997335,1
0.97246,0.320998,7.420491,0
1.763639,3.488125,3.764148,0
6.317891,3.525801,2.215765,1
8.310186,2.630391,8.260403,0
8.228738,6.533083,0.845826,1
1.434731,6.208602,3.263386,0
8.57146,9.052913,3.053456,1
8.591624,3.498728,9.787611,1
5.389696,4.512799,8.27486,0
1.971379,6.644001,0.505832,0
0.094803,7.14357,0.82184,0
0.66999,8.867056,1.642962,1
8.478903,9.230093,9.978973,1
2.340497,9.263509,0.461667,1
8.066956,7.142175,4.35684,1
5.237136,8.819801,1.143924,1
6.780101,9.78446,4.372044,1
5.218672,5.966434,6.936164,0
0.579798,2.864538,5.266162,1
9.65191,7.236296,8.874073,1
6.098236,3.304642,5.018166,1
1.821002,2.025108,0.391863,1
1.139031,1.420289,1.480487,0
4.166561,5.392188,6.774176,1
3.888797,9.923451,3.705833,1
2.380463,0.18401,9.096954,1
6.02725,5.621897,9.76218,1
7.330162,0.203078,4.171393,0
0.837982,8.744352,4.611453,0
2.058931,6.944644,3.080991,1
2.280351,5.680682,7.422571,0
7.437406,0.817698,6.979302,0
4.249311,5.352748,4.142132,1
3.950964,1.589302,7.158377,0
3.566674,6.695213,6.302194,1
9.61887,3.071426,4.540253,1
8.712167,9.696542,0.295492,1
8.186327,3.747553,9.040046,1
4.951816,8.592235,0.898838,1
2.76084,0.923991,5.423055,0
4.904187,9.709743,7.516743,1
9.593721,1.233228,1.980888,1
4.51268,6.276565,6.014871,1
4.915695,0.953932,5.968385,1
6.156108,4.796762,5.830497,1
6.773121,6.59839,6.458135,1
3.65615,8.582701,1.216879,1
2.215724,2.721982,0.182991,0
4.080251,4.460653,4.48147,1
7.946292,3.612721,3.963617,1
2.111031,1.694633,7.354869,0
0.220534,7.250052,2.140032,0
7.862877,3.419726,6.578689,1
3.651164,5.463381,8.86497,1
6.67139,4.727361,3.529613,0
7.069406,7.110996,7.653046,1
8.202066,4.326972,8.941389,1
3.804723,4.571423,2.18342,0
4.548911,9.671181,7.230398,1
5.116171,6.654389,2.393257,1
1.765746,0.363637,8.837073,0
2.700203,6.448632,1.738095,1
0.234934,0.738723,6.356345,0
6.535097,0.051946,2.5687,0
0.641295,4.817957,9.489733,0
3.069703,1.966299,7.093263,0
8.329374,1.581645,1.743592,1
5.989718,9.192963,8.064189,1
5.761284,5.644287,7.088961,1
2.0815,6.992616,2.996429,1
5.15908,2.053763,4.616657,0
1.782064,7.03775,6.219529,0
8.258963,2.305924,5.311182,1
8.663497,2.555797,3.206191,1
3.49315,2.58631,0.756904,0
9.636323,6.127467,0.360588,1
4.391055,8.399263,4.788205,1
2.365483,1.165869,9.643256,0
3.807585,2.260796,1.55648,1
5.376934,9.554607,4.475706,0
1.715639,9.818128,2.395409,1
4.411551,8.379683,5.014753,1
8.539416,8.963261,0.024311,1
3.845904,0.971665,6.769778,0
9.140663,4.452291,4.695559,1
8.019915,6.804953,3.365127,1
0.023324,4.779119,0.764691,0
6.109499,5.606734,1.222315,1
8.521035,7.009646,8.58496,1
6.321053,7.812053,7.874486,1
2.245247,7.763146,5.89729,1
7.661609,4.162824,0.137824,1
1.473454,2.325077,5.742072,0
1.947441,1.419623,4.226354,0
5.61073,2.159665,9.707607,1
5.936472,2.553799,4.67902,0
8.56387,2.998163,0.857441,1
3.701894,7.227569,2.394011,1
1.181249,3.589506,7.849623,0
8.071054,6.734229,8.898343,1
7.204663,1.846311,3.469042,1
5.98975,7.942101,3.167702,1
1.9303,3.598591,8.770999,0
6.484023,3.99661,1.245856,1
7.792987,9.27513,7.118889,1
8.67785,1.562216,2.583471,1
5.341747,1.370974,8.213557,0
2.897094,5.988264,2.896749,0
4.36386,6.144301,1.627407,1
6.349766,6.221652,3.087919,1
9.915708,8.646178,9.463767,1
4.541,4.237334,0.289983,0
0.651963,7.248714,7.532561,0
4.199256,0.570914,7.198919,0
3.512106,2.595916,1.791341,0
6.567565,2.413904,8.121556,0
2.308706,6.222229,5.363698,0
2.194547,7.166014,3.703626,1
7.352559,8.068537,4.611477,1
9.503486,9.290667,9.355482,1
0.01982,1.204268,5.487097,0
4.747854,0.354256,1.746108,0
3.457752,0.206174,6.082572,0
1.918316,6.914991,1.644571,0
2.627032,7.256887,1.393035,1
6.770234,5.166557,9.573335,1
3.93105,8.812606,7.487163,1
6.279302,1.229872,1.109206,0
8.402677,9.826017,5.695702,1
8.916369,2.012395,0.375589,1
