{@relation SEA-Incremental-01210-963-936-704

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 {0,1}

@data
1.145351,0.991089,6.675524,0
0.635781,1.521502,9.933466,0
9.287756,5.593641,6.128341,1
1.055335,2.865135,7.022101,1
6.831997,0.104984,8.091276,1
5.53235,4.155467,7.175246,1
2.501854,9.681428,7.249707,0
1.675689,3.124633,1.242423,0
6.448163,1.683352,2.111275,1
9.17342,6.772594,0.81013,1
8.579796,9.642347,7.04249,0
7.511217,1.141599,3.45886,1
9.720822,9.553195,4.923628,1
5.55154,7.026545,1.365153,1
8.60547,8.811323,9.216115,1
4.532222,7.930378,7.062604,1
5.546636,2.070199,3.17483,0
6.185621,6.29023,8.24134,1
0.592465,3.647652,8.578839,0
1.509167,0.408726,8.845107,0
9.914112,4.535744,1.424768,1
5.831684,5.881966,0.600226,0
8.896284,7.252916,5.233504,1
3.228872,0.548171,4.74816,0
2.04686,9.914309,4.460831,1
4.229883,8.905721,0.06756,1
1.292173,3.210526,7.394417,0
5.468081,0.012471,2.653999,0
0.595338,6.020698,0.587271,0
7.746356,4.257581,5.630294,1
1.572637,9.58374,4.586976,1
7.939507,4.450455,4.969152,1
8.588234,2.74809,8.802319,1
5.336988,7.705885,5.190492,0
8.611984,2.801085,2.853595,1
3.200932,3.068718,1.085043,0
9.701617,8.420218,5.397688,1
0.133565,3.232302,9.150006,0
9.794943,5.667496,0.22494,1
5.41015,1.266746,7.810898,0
0.730519,7.315203,4.747401,1
7.727592,0.879476,5.220344,0
7.539446,5.482193,4.748277,0
9.151543,8.507433,6.723899,1
4.587053,9.377282,6.456612,1
7.430491,5.879698,1.885751,0
2.686668,3.084952,7.265947,0
2.541641,5.830031,8.149073,1
9.633589,9.178754,6.578411,1
4.013035,3.506221,6.839866,1
5.560466,2.519917,5.082237,0
3.382865,3.656917,3.221501,0
1.479995,3.836401,9.285969,1
4.089717,8.352822,9.350172,1
0.194598,3.950377,4.621631,0
7.464173,2.215197,4.980641,1
6.165323,5.486821,5.822679,1
8.244879,1.251709,0.062299,1
0.959001,2.530764,8.874625,0
4.066823,5.041793,2.203643,1
5.016712,1.107087,0.959217,0
8.895429,1.373574,3.523612,1
5.143975,2.104036,7.629574,0
5.136804,3.390928,6.121519,1
1.099601,0.694452,8.324246,0
2.297666,3.156141,0.393758,0
4.863271,5.658542,6.951678,0
9.591434,2.841148,1.172429,1
9.147551,6.499689,7.266083,1
7.784257,7.814037,7.561075,1
4.706706,5.553158,2.331254,1
5.585407,1.602963,2.302232,0
7.095161,0.403353,5.852587,0
6.614385,8.55925,2.509034,1
0.497281,7.674951,3.783398,0
7.987239,9.974162,1.761251,0
6.708052,0.708579,6.332574,0
5.126154,1.692904,9.112831,0
6.165934,9.437298,8.799929,1
6.971524,8.529953,4.007855,1
4.081468,4.922032,0.256155,1
1.738415,1.556711,2.952758,0
8.897934,1.096893,1.078999,1
0.610543,0.07121,9.290789,0
0.178855,5.447122,7.019079,0
4.493855,3.705559,2.211698,0
7.522723,2.105038,2.57611,1
6.267486,8.967196,7.415532,1
1.637963,9.546811,0.445369,1
2.134681,0.925924,3.226125,1
3.239903,9.426528,6.875648,1
9.810918,4.724897,0.024598,1
2.713332,6.364678,7.83584,1
4.829763,9.119488,9.479812,1
7.212232,4.937834,3.853803,1
4.891681,6.261583,9.943464,0
1.950738,2.111194,0.567824,0
0.252691,3.755645,6.328845,1
6.3578,7.934837,6.144717,1
5.284477,4.442606,0.162226,1
9.695494,7.007025,0.777057,1
0.902412,5.672447,8.071737,1
3.725453,4.30493,9.494952,1
2.200414,7.791385,0.07777,1
4.096118,7.714845,0.041839,1
8.829392,3.312171,9.275954,1
4.770748,5.227489,5.877638,1
1.08134,2.268038,3.127833,0
0.314405,4.009348,2.308376,1
2.494304,5.847601,7.164371,0
8.135713,7.600774,3.65074,1
9.097563,9.414111,7.12546,1
4.994174,6.383194,7.909301,1
2.095895,4.623669,5.142369,1
3.059751,6.093566,1.22344,1
9.362221,8.359621,0.41635,1
9.012991,1.076263,9.59331,1
2.636376,1.64814,4.930247,0
2.222715,8.17835,8.372819,0
2.249614,1.030735,0.522367,1
8.834297,3.69708,4.044567,1
9.305047,3.530638,6.726911,0
0.762193,5.590267,1.781561,1
5.383147,8.963152,0.350767,1
7.574523,7.263215,7.236711,1
6.950362,8.342412,7.977809,1
2.416025,5.842046,0.730489,0
9.838665,8.363041,5.783585,1
3.105924,8.345391,1.284297,1
9.554546,2.422453,8.563635,1
9.705709,0.241747,5.801862,1
1.436243,2.313305,5.019293,0
6.499681,8.854833,0.527445,1
4.888674,0.875684,9.661911,0
4.789942,6.816891,3.120163,1
6.540665,1.676436,6.586331,1
3.40104,3.87293,8.849947,1
9.643217,2.29421,8.648814,1
2.730331,3.94962,2.092999,0
6.715921,8.19693,1.981241,1
1.73177,4.343444,6.355687,0
2.462729,1.632577,2.602859,0
6.526594,6.317079,7.516677,1
7.060761,7.976313,0.051495,0
1.863541,2.733664,4.745844,1
5.700379,8.639527,1.218955,1
6.639706,4.241236,4.955594,0
0.648891,4.870471,3.248792,0
4.830626,1.1141,1.514102,0
9.361195,1.276931,0.927851,1
1.578352,1.136286,9.327349,1
6.27029,6.040113,0.79098,1
6.249677,3.985912,3.11071,1
3.911812,7.926089,5.222912,1
9.216166,6.742235,7.547803,1
5.934247,4.597728,7.75141,1
3.48866,8.793446,4.722094,0
5.84303,4.618184,5.346943,0
9.810591,2.058215,6.554271,1
0.914721,7.962191,1.32316,1
2.690108,0.687421,6.723169,0
9.470803,5.11955,1.358172,1
6.783798,0.199528,9.040183,0
2.621056,0.106404,6.119559,0
3.583384,1.659793,4.29922,1
5.538282,8.979884,4.953581,1
1.471023,1.632064,2.413512,1
0.297391,7.071601,6.637292,0
4.791835,0.392811,6.490537,0
1.597721,5.988009,2.233728,0
5.909227,0.760283,1.928363,0
6.34491,4.22889,2.317682,1
7.713176,2.014348,1.309623,1
7.391391,7.708878,6.100974,1
1.08371,7.392067,7.545016,1
5.018885,5.743191,2.892019,1
8.854096,5.750968,6.576307,0
1.961318,3.469627,0.743363,0
6.684365,9.090153,2.884329,1
2.990904,0.342422,2.928059,0
0.161333,5.305915,5.841062,0
9.893359,1.99658,6.555491,1
4.652709,5.612453,1.597599,1
3.879226,0.538842,6.017173,1
4.646171,4.433602,7.564201,1
4.728114,7.653513,6.098708,0
6.495733,8.143983,2.194031,1
6.447149,8.521612,0.936869,0
6.678837,0.036338,2.18023,0
3.395872,2.281948,1.773168,0
7.716311,2.61631,2.888636,0
2.80118,2.993495,3.361294,0
7.807494,2.584241,5.487032,1
