@relation SEA-Incremental-13123-256-288-961

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 {0,1}

@data
0.457838,5.861207,2.032399,1
0.259922,4.029372,3.787118,1
8.053571,3.796451,3.770706,1
5.443956,5.23175,9.542839,1
4.120926,4.110403,2.32051,0
7.562924,9.270842,6.415225,1
4.368686,8.862842,7.016139,1
4.783447,1.004934,1.584477,0
9.192087,9.578689,5.901036,1
8.953343,5.323339,8.773035,0
8.526019,8.739778,6.969024,0
5.141586,8.558482,6.313295,0
2.95112,1.93123,1.46224,0
3.721083,8.999575,4.658081,0
4.341819,7.228658,2.636681,1
5.642143,3.424544,2.952064,1
9.24221,7.521061,4.043421,1
0.253939,4.638044,6.294122,0
5.666596,5.240364,1.241633,1
9.604434,4.834924,7.426235,1
0.139936,2.300235,7.174203,0
8.215867,9.965403,2.089842,1
7.183123,2.946794,2.974244,1
8.941713,2.912328,1.831336,1
2.760073,8.971488,4.405327,0
8.3136,0.840679,8.397904,1
6.332712,4.24711,8.380108,1
2.610765,7.837887,4.994859,1
0.654832,3.557626,1.807274,0
4.870323,5.526951,4.41853,1
7.734568,2.143591,2.739483,1
3.126922,5.246522,1.400227,0
2.936113,7.463398,5.543774,1
9.650088,3.113023,6.059533,1
1.585779,8.18236,6.401887,0
7.39772,3.53876,6.804849,1
8.773068,9.947108,0.512366,1
6.471799,0.508384,8.200267,0
1.731219,5.049476,3.732776,0
7.719101,1.233052,3.022543,0
5.032443,1.48818,6.050601,0
6.699716,1.835528,9.489371,0
2.738879,2.599314,1.331419,0
9.711983,5.039899,4.472748,1
6.587489,1.230763,3.015344,1
1.964014,7.443572,4.095478,1
7.78782,5.66656,8.225279,1
7.406727,8.286471,7.526561,1
5.018022,3.925918,1.727123,0
5.646231,4.290973,2.80024,1
1.297046,1.353745,4.648324,0
7.128282,6.259111,6.128615,1
4.52137,2.855059,9.667644,0
0.474373,3.710717,9.11073,0
9.244018,1.407017,7.089266,0
8.701497,0.988353,4.7116,1
2.992218,5.048367,6.228814,1
1.213627,8.941337,4.729083,1
8.541494,2.47133,9.389706,1
7.601256,1.408305,1.054624,1
7.345927,3.832922,5.553749,1
7.828802,2.012919,6.826239,0
5.511013,9.384311,0.928767,1
6.257938,0.579968,8.489783,0
1.690561,1.51612,6.221624,0
4.448542,8.545443,4.040211,1
3.423267,4.877094,2.994815,0
5.483876,3.200662,4.423393,1
4.051825,3.157095,3.061305,0
1.733741,2.166886,8.511985,1
9.727267,7.774922,3.205108,1
0.517587,0.295188,1.930281,0
1.178949,1.500185,8.353214,0
5.281518,4.067737,7.812255,1
6.067719,6.663433,0.79022,1
6.076471,8.427166,8.126477,1
5.622091,9.251383,4.149478,0
0.530637,8.229946,7.622919,0
3.492063,9.569255,6.517192,1
9.305203,5.105621,8.657177,1
9.046152,4.225961,1.229555,1
9.22648,9.455269,0.890286,1
7.098443,5.684262,2.014791,1
0.728519,8.658428,3.739971,1
9.557441,5.13033,3.024567,1
1.79641,5.014545,2.397242,0
1.115038,2.753309,9.287298,0
2.161894,2.931582,4.384815,0
3.517906,0.227192,0.040107,0
6.430157,9.647959,9.620683,1
4.431581,9.225374,2.769578,1
8.767939,3.105341,2.902907,0
0.334105,2.079929,2.819505,1
2.704517,6.22741,3.816225,0
4.888187,2.596689,8.356658,0
7.278045,5.566344,8.377058,0
0.688172,7.338697,4.99419,0
6.815387,6.469446,9.54237,1
2.586565,5.715516,2.870426,0
4.17745,5.486399,9.80634,1
7.588042,3.236462,4.121228,1
2.558203,1.556462,4.727134,0
7.604357,3.03906,7.06463,1
4.097366,8.624443,4.575904,1
9.16591,0.554767,1.561938,0
9.119193,7.319953,0.975362,0
0.300049,1.692093,7.385546,1
8.259581,6.876291,3.186305,1
8.292229,2.822589,2.150703,1
5.211212,8.250419,7.122663,1
1.672575,4.405259,6.729899,0
7.782775,1.520399,4.583695,0
8.585027,3.073651,9.083977,1
7.332403,6.277555,7.93324,1
8.407252,1.833823,3.946573,1
5.876897,7.300185,8.816162,1
4.361993,4.869754,3.438962,1
3.692616,9.053455,7.646894,1
5.503746,1.26372,6.214751,0
7.355194,0.061142,9.338747,0
9.469869,4.024462,1.407622,1
6.411899,6.584253,2.771669,0
2.278125,8.784746,0.214726,1
2.898803,2.176019,0.3449,0
5.474007,4.570766,0.752555,1
6.892743,5.348825,5.096247,0
8.892306,6.550935,0.682137,1
1.392125,5.716892,0.551632,0
6.264696,9.063552,3.185498,1
4.852302,5.827064,3.256807,1
1.486446,7.82286,2.138966,0
9.738868,7.707376,2.15259,1
2.474295,0.097099,4.72667,0
9.896763,0.782479,5.68408,0
0.039766,2.346375,4.180461,0
6.233822,2.631184,1.429839,0
1.975068,6.148643,8.041105,0
6.906329,4.441241,3.782848,1
2.031338,6.971532,1.813263,1
9.960317,3.985053,5.4378,1
7.781337,2.62201,8.604977,1
3.795168,1.875516,9.467086,0
1.096809,6.17352,4.351435,0
0.107028,5.194853,2.150629,0
