@relation interchangingRBF

@attribute 0 numeric
@attribute 1 numeric
@attribute target {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14}

@data
0.394313,0.38611,12
0.639511,0.423301,5
0.800814,0.644746,1
0.969063,0.176896,4
0.368962,0.22514,9
0.719005,0.925175,7
-0.022468,0.14656,10
0.454898,-0.025566,11
0.98865,0.796607,13
0.024532,0.456217,14
0.790044,0.290765,3
0.976314,0.139901,4
0.404601,0.417621,12
0.798336,0.628826,1
0.687366,0.443512,5
0.981281,0.802888,13
0.439858,0.033929,11
0.380322,0.232283,9
0.94448,0.135083,4
0.190997,0.846259,6
0.81745,0.268568,3
0.929459,0.843658,13
0.180685,0.554521,8
0.462252,-0.021081,11
0.750837,0.949905,7
0.209375,0.575667,8
0.663925,0.168674,0
0.810989,0.273797,3
0.618552,0.478811,5
0.932355,0.460566,2
0.752516,0.925783,7
0.202703,0.55869,8
0.670846,0.478729,5
0.431971,-0.010666,11
0.942708,0.469547,2
0.440674,-0.00155,11
0.795005,0.608299,1
0.786792,0.610562,1
-0.005014,0.18049,10
0.806408,0.277417,3
0.925261,0.45916,2
0.640584,0.154365,0
0.477281,0.000217,11
0.374148,0.220006,9
0.799143,0.627835,1
0.784355,0.606961,1
0.973632,0.473834,2
0.431394,0.040596,11
0.721466,0.935166,7
0.423258,0.030015,11
0.945155,0.468905,2
0.176507,0.8161,6
0.785273,0.610904,1
0.957807,0.149192,4
0.00898,0.186407,10
0.195095,0.866797,6
0.977939,0.476794,2
0.02638,0.215407,10
0.673935,0.426355,5
0.630154,0.462187,5
0.938924,0.145536,4
0.750643,0.949726,7
0.398556,0.22547,9
0.167204,0.813396,6
0.044905,0.224018,10
0.643269,0.155725,0
0.194748,0.855959,6
0.802222,0.62088,1
0.379922,0.203113,9
-0.005604,0.498362,14
0.694208,0.94003,7
0.968984,0.148178,4
0.183411,0.83301,6
0.623683,0.477015,5
0.191053,0.846296,6
0.478869,-0.019836,11
0.958422,0.826812,13
0.797675,0.28709,3
0.225648,0.546553,8
0.006149,0.197014,10
0.933234,0.845777,13
0.640542,0.510267,5
0.20964,0.55321,8
0.009873,0.476353,14
0.603273,0.135932,0
0.81104,0.636876,1
-0.022571,0.159327,10
0.624716,0.151,0
0.758155,0.96414,7
0.800593,0.281154,3
0.38594,0.219901,9
0.955425,0.825989,13
0.019743,0.464665,14
0.167949,0.836117,6
0.020123,0.196761,10
0.185665,0.815629,6
0.447383,0.02679,11
0.39019,0.229129,9
0.178431,0.832506,6
-0.008228,0.169828,10
0.388875,0.231464,9
0.929713,0.461219,2
0.672296,0.170451,0
0.185096,0.554911,8
0.935618,0.84901,13
0.801738,0.632669,1
0.973876,0.471452,2
0.383886,0.198604,9
0.80383,0.282891,3
-0.010132,0.18485,10
0.931203,0.849979,13
0.961678,0.470165,2
0.791878,0.619084,1
0.391091,0.22107,9
0.015211,0.201362,10
0.014453,0.472269,14
-0.001444,0.201115,10
0.629414,0.433938,5
0.78627,0.6135,1
