@relation moving_squares

@attribute feat_1 numeric
@attribute feat_2 numeric
@attribute target {0,1,2,3}

@data
0.241494,0.032837,0
0.167903,0.020489,1
0.11548,0.003519,2
0.04478,0.018246,3
0.232627,0.014041,0
0.184678,0.047609,1
0.106292,0.018969,2
0.023262,0.043544,3
0.270481,0.044169,0
0.174274,0.022162,1
0.117676,0.009322,2
0.005333,0.028153,3
0.248482,0.005126,0
0.184515,0.017906,1
0.08963,0.017116,2
0.017733,0.013494,3
0.254276,0.019023,0
0.157026,0.033003,1
0.080464,0.045898,2
0.023683,0.003746,3
0.251406,0.02879,0
0.191156,0.026991,1
0.104897,0.044293,2
0.007446,0.014913,3
0.248531,0.023676,0
0.180898,0.015213,1
0.121155,0.031427,2
0.011937,0.024503,3
0.259718,0.043561,0
0.161008,0.032908,1
0.098028,0.044542,2
0.014506,0.002161,3
0.276574,0.029072,0
0.163715,0.027844,1
0.131041,0.036488,2
0.053994,0.033027,3
0.244451,0.015007,0
0.20874,0.021765,1
0.086374,0.024844,2
0.022881,0.045853,3
0.240482,0.007015,0
0.184916,0.038836,1
0.107692,0.035599,2
0.019585,0.042409,3
0.282072,0.037372,0
0.194394,0.047219,1
0.096574,0.038959,2
0.014361,0.004909,3
0.247216,0.036973,0
0.173136,0.020112,1
0.120308,0.018572,2
0.060185,0.004957,3
0.243356,0.015869,0
0.19966,0.017528,1
0.120998,0.048175,2
0.047351,0.04709,3
0.242066,0.021628,0
0.17068,0.039298,1
0.09736,0.049086,2
0.062057,0.047262,3
0.272016,0.021848,0
0.181424,0.003944,1
0.117915,0.038382,2
0.033687,0.042878,3
0.24278,0.022137,0
0.174788,0.028891,1
0.139004,0.026767,2
0.041731,0.004603,3
0.245104,0.045844,0
0.188724,0.012393,1
0.09922,0.028297,2
0.026771,0.046836,3
0.285733,0.031514,0
0.194874,0.037903,1
0.099719,0.018823,2
0.024655,0.015928,3
0.285616,0.027227,0
0.218649,0.001043,1
0.120298,0.025224,2
0.067106,0.038211,3
0.279777,0.010067,0
0.212977,0.038214,1
0.126181,0.023005,2
0.048796,0.019104,3
0.294693,0.012158,0
0.211283,0.001186,1
0.105035,0.039918,2
0.026687,0.004504,3
0.268333,0.000703,0
0.193109,0.031771,1
0.146788,0.036067,2
0.038625,0.037904,3
0.28469,0.045577,0
0.222506,0.016039,1
0.108314,0.032559,2
0.069292,0.017043,3
0.29453,0.047041,0
0.192999,0.015803,1
0.129538,0.005085,2
0.043016,0.00315,3
0.275504,0.037214,0
0.217032,0.035085,1
0.131952,0.017351,2
0.034026,0.047883,3
0.26704,0.027023,0
0.208696,0.021196,1
0.104253,0.00311,2
0.056911,0.026418,3
0.278519,0.037802,0
0.186864,0.023536,1
0.102993,0.032722,2
0.052957,0.043848,3
0.28881,0.041124,0
0.185702,0.027896,1
0.106252,0.008912,2
0.050271,0.019603,3
0.291107,0.012069,0
0.216557,0.02045,1
0.133064,0.010552,2
0.046929,0.04369,3
0.289965,0.001823,0
0.205191,0.000362,1
0.146594,0.035949,2
0.07387,0.010678,3
0.290512,0.024013,0
0.198441,0.015444,1
0.118788,0.020498,2
0.067035,0.042898,3
0.306221,0.021645,0
0.184775,0.037105,1
0.130306,0.002926,2
0.064956,0.00435,3
0.3059,0.0299,0
0.194133,0.011734,1
0.132451,0.008272,2
0.033696,0.047379,3
0.267371,0.024441,0
0.216279,0.022757,1
0.143767,0.048334,2
0.075681,0.019335,3
0.28339,0.00995,0
0.20675,0.002821,1
0.155116,0.01224,2
0.053296,0.025469,3
0.304052,0.005372,0
0.233623,0.045092,1
0.158376,0.047674,2
0.045214,0.049943,3
0.298404,0.048422,0
0.205572,0.003344,1
0.120351,0.001091,2
0.060021,0.022785,3
0.295765,0.038924,0
0.213403,0.03623,1
0.115701,0.020006,2
0.075539,0.048623,3
0.276103,0.042426,0
0.237281,0.0072,1
0.163153,0.037122,2
0.078752,0.016629,3
0.301624,0.009058,0
0.206045,0.012422,1
0.14059,0.049147,2
